company;rank;rank_change;revenue;profit;num. of employees;sector;city;state;newcomer;ceo_founder;ceo_woman;profitable;prev_rank;CEO;Website;Ticker;Market Cap
Old Republic International;376;25.0;9341.6;1534.3;9600.0;Financials;Chicago;IL;no;no;no;yes;401.0;Craig R. Smiddy;https://www.oldrepublic.com;ORI;7972.8
Burlington Stores;377;94.0;9322.3;408.8;38599.0;Retailing;Burlington;NJ;no;no;no;yes;471.0;Michael B. O?Sullivan;https://www.burlingtoninvestors.com;BURL;12112.8
Avis Budget Group;378;120.0;9313.0;1285.0;18500.0;Retailing;Parsippany;NJ;no;no;no;yes;498.0;Joseph A. Ferraro;https://www.avisbudgetgroup.com;CAR;14157
ODP;379;-67.0;9267.0;-208.0;26000.0;Retailing;Boca Raton;FL;no;no;no;no;312.0;Gerry P. Smith;https://www.officedepot.com;ODP;2222.2
VF Corp.;380;-117.0;9238.8;407.9;33600.0;Apparel;Denver;CO;no;no;no;yes;263.0;Steven Rendle;https://www.vfc.com;VFC;11620
Bed Bath & Beyond;381;-101.0;9233.0;-150.8;37600.0;Retailing;Union;NJ;no;no;yes;no;280.0;Sue Gove;https://www.bedbathandbeyond.com;BBBY;2170.5
Seaboard;382;24.0;9229.0;570.0;13200.0;Food, Beverages & Tobacco;Merriam;KS;no;no;no;yes;406.0;Robert L. Steer;https://www.seaboardcorp.com;SEB;4881.6
First American Financial;383;26.0;9221.0;1241.0;22233.0;Financials;Santa Ana;CA;no;no;no;yes;409.0;Kenneth D. DeGiorgio;https://www.firstam.com;FAF;7087.2
Intercontinental Exchange;384;-19.0;9168.0;4058.0;8858.0;Financials;Atlanta;GA;no;yes;no;yes;365.0;Jeffrey C. Sprecher;https://www.ice.com;ICE;74044.8
PVH;385;19.0;9154.7;952.3;25000.0;Apparel;New York;NY;no;no;no;yes;404.0;Stefan Larsson;https://www.pvh.com;PVH;5210
Apollo Global Management;386;0.0;9124.0;1838.5;2153.0;Financials;New York;NY;yes;yes;no;yes; ;Marc Rowan;https://www.apollo.com;APO;37194
Jefferies Financial Group;387;32.0;9039.9;1674.4;5556.0;Financials;New York;NY;no;no;no;yes;419.0;Richard Handler;https://www.jefferies.com;JEF;7248
Hershey;388;-18.0;8971.3;1477.5;17805.0;Food, Beverages & Tobacco;Hershey;PA;no;no;yes;yes;370.0;Michele G. Buck;https://www.thehersheycompany.com;HSY;44461.5
NVR;389;-6.0;8970.1;1236.7;6600.0;Engineering & Construction;Reston;VA;no;no;no;yes;383.0;Eugene J. Bredow;https://www.nvrinc.com;NVR;15010.5
Foot Locker;390;-5.0;8958.0;893.0;33244.0;Retailing;New York;NY;no;no;yes;yes;385.0;Mary N. Dillon;https://www.footlocker.com/corp;FL;2850
Dana;391;17.0;8945.0;197.0;40200.0;Motor Vehicles & Parts;Maumee;OH;no;no;no;yes;408.0;James K. Kamsickas;https://www.dana.com;DAN;2544.4
SpartanNash;392;-63.0;8931.0;73.8;13300.0;Wholesalers;Byron Center;MI;no;no;no;yes;329.0;Tony B. Sarsam;https://www.spartannash.com;SPTN;1185.1
Olin;393;79.0;8910.6;1296.7;7750.0;Chemicals;Clayton;MO;no;no;no;yes;472.0;Scott M. Sutton;https://www.olin.com;OLN;8062
Chewy;394;9.0;8890.8;-73.8;21300.0;Retailing;Dania Beach;FL;no;no;no;no;403.0;Sumit Singh;https://www.chewy.com;CHWY;17147.3
Jackson Financial;395;0.0;8848.0;3183.0;3150.0;Financials;Lansing;MI;yes;no;yes;yes; ;Laura L. Prieskorn;https://www.jackson.com;JXN;3895.1
Activision Blizzard;396;-23.0;8803.0;2699.0;9800.0;Media;Santa Monica;CA;no;no;no;yes;373.0;Robert A. Kotick;https://www.activisionblizzard.com;ATVI;62559.7
Toll Brothers;397;14.0;8790.4;833.6;5100.0;Engineering & Construction;Fort Washington;PA;no;no;no;yes;411.0;Douglas C. Yearley Jr.;https://www.tollbrothers.com;TOL;5515.4
Carlyle Group;398;0.0;8782.1;2974.7;1850.0;Financials;Washington;DC;yes;no;no;yes; ;William Conway Jr.;https://www.carlyle.com;CG;9539
Graybar Electric;399;0.0;8767.3;262.4;8800.0;Wholesalers;St. Louis;MO;no;no;yes;yes;399.0;Kathleen M. Mazzarella;https://www.graybar.com;;-
Ovintiv;400;58.0;8658.0;1416.0;1713.0;Energy;Denver;CO;no;no;no;yes;458.0;Brendan M. McCracken;https://www.ovintiv.com;OVV;13987.5
UFP Industries;401;0.0;8636.1;535.6;15000.0;Materials;Grand Rapids;MI;yes;no;no;yes; ;Matthew Missad;https://www.ufpi.com;UFPI;4471
Ulta Beauty;402;49.0;8630.9;985.8;28500.0;Retailing;Bolingbrook;IL;no;no;no;yes;451.0;David C. Kimbell;https://www.ulta.com;ULTA;20837.8
Constellation Brands;403;-44.0;8614.9;1998.0;9300.0;Food, Beverages & Tobacco;Victor;NY;no;no;no;yes;359.0;William A. Newlands;https://www.cbrands.com;STZ;43763.5
Expedia Group;404;0.0;8598.0;12.0;14800.0;Retailing;Seattle;WA;yes;no;no;yes; ;Peter M. Kern;https://www.expediagroup.com;EXPE;30476.5
CommScope Holding;405;-49.0;8586.7;-462.6;30000.0;Technology;Hickory;NC;no;no;no;no;356.0;Charles L. Treadway;https://www.commscope.com;COMM;1629.7
Celanese;406;71.0;8537.0;1890.0;8529.0;Chemicals;Irving;TX;no;no;yes;yes;477.0;Lori J. Ryerkerk;https://www.celanese.com;CE;15434.1
Global Payments;407;-13.0;8523.8;965.5;25000.0;Business Services;Atlanta;GA;no;no;no;yes;394.0;Jeffrey S. Sloan;https://www.globalpayments.com;GPN;38545.6
Owens Corning;408;5.0;8498.0;995.0;20000.0;Materials;Toledo;OH;no;no;no;yes;413.0;Brian D. Chambers;https://www.owenscorning.com;OC;9064.7
Campbell Soup;409;-74.0;8476.0;1002.0;14100.0;Food, Beverages & Tobacco;Camden;NJ;no;no;no;yes;335.0;Mark A. Clouse;https://www.campbellsoupcompany.com;CPB;13446.9
Huntsman;410;50.0;8453.0;1045.0;9000.0;Chemicals;The Woodlands;TX;no;no;no;yes;460.0;Peter R. Huntsman;https://www.huntsman.com;HUN;8046.9
Franklin Resources;411;73.0;8425.5;1831.2;10300.0;Financials;San Mateo;CA;no;no;yes;yes;484.0;Jennifer M. Johnson;https://www.franklinresources.com;BEN;14019.3
Avery Dennison;412;5.0;8408.3;740.1;36000.0;Materials;Glendale;CA;no;no;no;yes;417.0;Mitchell R. Butier;https://www.averydennison.com;AVY;14327.4
Masco;413;-15.0;8375.0;410.0;20000.0;Household Products;Livonia;MI;no;no;no;yes;398.0;Keith J. Allman;https://www.masco.com;MAS;12062.7
CenterPoint Energy;414;-72.0;8352.0;1486.0;9418.0;Energy;Houston;TX;no;no;no;yes;342.0;David J. Lesar;https://www.centerpointenergy.com;CNP;19285.8
Fifth Third Bancorp;415;-57.0;8329.0;2770.0;19112.0;Financials;Cincinnati;OH;no;no;no;yes;358.0;Timothy N. Spence;https://www.53.com;FITB;29511.3
WEC Energy Group;416;-16.0;8316.0;1300.3;6938.0;Energy;Milwaukee;WI;no;no;no;yes;400.0;Scott J. Lauber;https://www.wecenergygroup.com;WEC;31483.5
S&P Global;417;-24.0;8297.0;3024.0;22850.0;Business Services;New York;NY;no;no;no;yes;393.0;Douglas L. Peterson;https://www.spglobal.com;SPGI;142343.5
FM Global;418;5.0;8274.6;2842.4;5560.0;Financials;Johnston;RI;no;no;no;yes;423.0;Malcolm C. Roberts;https://www.fmglobal.com;;
Polaris;419;-12.0;8252.0;493.9;16000.0;Transportation;Medina;MN;no;no;no;yes;407.0;Michael T. Speetzen;https://www.polaris.com;PII;6264.1
Williams-Sonoma;420;5.0;8245.9;1126.3;16600.0;Retailing;San Francisco;CA;no;no;yes;yes;425.0;Laura J. Alber;https://www.williams-sonomainc.com;WSM;10376
Autoliv;421;-29.0;8230.0;435.0;58176.0;Motor Vehicles & Parts;Auburn Hills;MI;no;no;no;yes;392.0;Mikael Bratt;https://www.autoliv.com;ALV;6691.1
Arthur J. Gallagher;422;-6.0;8209.4;906.8;39000.0;Financials;Rolling Meadows;IL;no;no;no;yes;416.0;J. Patrick Gallagher Jr.;https://www.ajg.com;AJG;36598.6
Motorola Solutions;423;-28.0;8171.0;1245.0;18700.0;Technology;Chicago;IL;no;no;no;yes;395.0;Gregory Q. Brown;https://www.motorolasolutions.com;MSI;40555.9
Zillow Group;424;0.0;8147.4;-527.8;8005.0;Technology;Seattle;WA;yes;yes;no;no; ;Richard N. Barton;https://www.zillowgroup.com;ZG;12287.1
Opendoor Technologies;425;0.0;8021.0;-662.0;2816.0;Technology;San Francisco;CA;yes;yes;no;no; ;Eric Wu;https://www.opendoor.com;OPEN;5364.1
J.M. Smucker;426;-48.0;8002.7;876.3;7100.0;Food, Beverages & Tobacco;Orrville;OH;no;no;no;yes;378.0;Mark T. Smucker;https://www.jmsmucker.com;SJM;14686.4
Anywhere Real Estate;427;18.0;7983.0;343.0;9748.0;Financials;Madison;NJ;no;no;no;yes;445.0;Ryan M. Schneider;https://www.realogy.com;HOUS;1852.1
Oshkosh;428;-6.0;7952.5;409.4;15000.0;Industrials;Oshkosh;WI;no;no;no;yes;422.0;John C. Pfeifer;https://www.oshkoshcorp.com;OSK;6703.7
MasTec;429;12.0;7951.8;328.8;27000.0;Engineering & Construction;Coral Gables;FL;no;no;no;yes;441.0;José R. Mas;https://www.mastec.com;MTZ;6657
GXO Logistics;430;0.0;7940.0;153.0;97500.0;Transportation;Greenwich;CT;yes;no;no;yes; ;Malcolm Wilson;https://www.gxo.com;GXO;8193
APA;431;0.0;7928.0;973.0;2253.0;Energy;Houston;TX;yes;no;no;yes; ;John J. Christmann IV;https://www.apacorp.com;APA;14332.3
Boise Cascade;432;61.0;7926.1;712.5;6130.0;Wholesalers;Boise;ID;no;no;no;yes;493.0;Nathan Jorgensen;https://www.bc.com;BCC;2405
Dover;433;-4.0;7907.1;1123.8;25000.0;Industrials;Downers Grove;IL;no;no;no;yes;429.0;Richard J. Tobin;https://www.dovercorporation.com;DOV;22610.3
Genworth Financial;434;-86.0;7882.0;904.0;2500.0;Financials;Richmond;VA;no;no;no;yes;348.0;Thomas J. McInerney;https://www.genworth.com;GNW;1917.9
Bath & Body Works;435;-178.0;7881.5;1333.5;32850.0;Retailing;Columbus;OH;no;no;yes;yes;257.0;Sarah E. Nash;https://www.bbwinc.com;BBWI;11419.9
Booz Allen Hamilton Holding;436;-45.0;7858.9;609.0;27700.0;Technology;McLean;VA;no;no;no;yes;391.0;Horacio D. Rozanski;https://www.boozallen.com;BAH;11705.4
Coinbase Global;437;0.0;7839.4;3624.1;3730.0;Financials;Wilmington;DE;yes;yes;no;yes; ;Brian Armstrong;https://www.coinbase.com;COIN;41670.4
Zimmer Biomet Holdings;438;-24.0;7836.2;401.6;19500.0;Health Care;Warsaw;IN;no;no;no;yes;414.0;Bryan C. Hanson;https://www.zimmerbiomet.com;ZBH;26772.3
Westinghouse Air Brake Technologies;439;-55.0;7822.0;558.0;25000.0;Industrials;Pittsburgh;PA;no;no;no;yes;384.0;Rafael O. Santana;https://www.wabteccorp.com;WAB;17819.4
Zoetis;440;-9.0;7776.0;2037.0;12100.0;Health Care;Parsippany;NJ;no;no;yes;yes;431.0;Kristin Peck;https://www.zoetis.com;ZTS;69420
Packaging Corp. of America;441;-8.0;7730.3;841.1;15200.0;Materials;Lake Forest;IL;no;no;no;yes;433.0;Mark W. Kowlzan;https://www.packagingcorp.com;PKG;14628.1
LPL Financial Holdings;442;24.0;7720.8;459.9;5919.0;Financials;San Diego;CA;no;no;no;yes;466.0;Dan H. Arnold;https://www.lpl.com;LPLA;14608.8
T. Rowe Price;443;4.0;7671.9;3082.9;7529.0;Financials;Baltimore;MD;no;no;no;yes;447.0;Robert W. Sharps;https://www.troweprice.com;TROW;34442.6
Fortune Brands Home & Security;444;12.0;7656.1;772.4;28056.0;Household Products;Deerfield;IL;no;no;no;yes;456.0;Nicholas I. Fink;https://www.fbhs.com;FBHS;9830.7
Casey's General Stores;445;-74.0;7654.2;312.9;27583.0;Retailing;Ankeny;IA;no;no;no;yes;371.0;Darren M. Rebelez;https://www.caseys.com;CASY;7354.4
A-Mark Precious Metals;446;49.0;7613.0;159.6;347.0;Wholesalers;El Segundo;CA;no;no;no;yes;495.0;Gregory N. Roberts;https://www.amark.com;AMRK;890.5
Hess;447;0.0;7583.0;559.0;1545.0;Energy;New York;NY;yes;no;no;yes; ;John B. Hess;https://www.hess.com;HES;33155.2
Vertex Pharmaceuticals;448;0.0;7574.4;2342.1;3900.0;Health Care;Boston;MA;no;no;yes;yes;448.0;Reshma Kewalramani;https://www.vrtx.com;VRTX;66436.9
KeyCorp;449;-53.0;7561.0;2625.0;16974.0;Financials;Cleveland;OH;no;no;no;yes;396.0;Christopher M. Gorman;https://www.key.com;KEY;20592.5
Chipotle;450;14.0;7547.1;653.0;97660.0;Hotels, Restaurants & Leisure;Newport Beach;CA;no;no;no;yes;464.0;Brian Niccol;https://www.chipotle.com;CMG;41724
CMS Energy;451;-21.0;7538.0;1353.0;8813.0;Energy;Jackson;MI;no;no;no;yes;430.0;Garrick J. Rochow;https://www.cmsenergy.com;CMS;20292.2
Arconic;452;24.0;7504.0;-397.0;13900.0;Materials;Pittsburgh;PA;no;no;no;no;476.0;Timothy D. Myers;https://www.arconic.com;ARNC;2690.7
Taylor Morrison Home;453;-1.0;7501.3;663.0;3000.0;Engineering & Construction;Scottsdale;AZ;no;no;yes;yes;452.0;Sheryl D. Palmer;https://www.taylormorrison.com;TMHC;3301.6
American Financial Group;454;-78.0;7462.0;1995.0;6600.0;Financials;Cincinnati;OH;no;no;no;yes;376.0;Carl H. Lindner lll/S. Craig Lindner;https://www.afginc.com;AFG;12367.8
UGI;455;-19.0;7447.0;1467.0;11300.0;Energy;King of Prussia;PA;no;no;no;yes;436.0;Roger Perreault;https://www.ugicorp.com;UGI;7599.1
Science Applications International;456;-44.0;7394.0;277.0;25090.0;Technology;Reston;VA;no;no;yes;yes;412.0;Nazzic S. Keene;https://www.saic.com;SAIC;5166.1
Avantor;457;-19.0;7386.1;572.6;13500.0;Technology;Radnor;PA;no;no;no;yes;438.0;Michael Stubblefield;https://www.avantorsciences.com;AVTR;20629.1
Hanesbrands;458;-26.0;7347.8;77.2;58000.0;Apparel;Winston-Salem;NC;no;no;no;yes;432.0;Stephen B. Bratspies;https://www.hanes.com;HBI;5191.4
Clorox;459;-32.0;7341.0;710.0;9000.0;Household Products;Oakland;CA;no;no;yes;yes;427.0;Linda Rendle;https://www.thecloroxcompany.com;CLX;17108.7
KBR;460;10.0;7339.0;18.0;28000.0;Engineering & Construction;Houston;TX;no;no;no;yes;470.0;Stuart J.B. Bradie;https://www.kbr.com;KBR;7634.9
TravelCenters of America;461;0.0;7336.8;58.5;16540.0;Retailing;Westlake;OH;yes;no;no;yes; ;Jonathan M. Pertchik;https://www.ta-petro.com;TA;637.5
Hertz Global Holdings;462;0.0;7336.0;366.0;23000.0;Retailing;Estero;FL;yes;no;no;yes; ;Stephen M. Scherr;https://www.hertz.com;HTZ;9508.9
Analog Devices;463;18.0;7318.3;1390.4;24700.0;Technology;Wilmington;MA;no;no;no;yes;481.0;Vincent T. Roche;https://www.analog.com;ADI;86441.2
Securian Financial Group;464;-43.0;7317.4;311.5;6941.0;Financials;St. Paul;MN;no;no;no;yes;421.0;Christopher M. Hilger;https://www.securian.com;;
Darden Restaurants;465;-88.0;7196.1;629.3;156883.0;Hotels, Restaurants & Leisure;Orlando;FL;no;no;no;yes;377.0;Ricardo Cardenas;https://www.darden.com;DRI;16980.9
NCR;466;-20.0;7156.0;97.0;38000.0;Technology;Atlanta;GA;no;no;no;yes;446.0;Michael D. Hayford;https://www.ncr.com;NCR;5474.7
Graphic Packaging Holding;466;-31.0;7156.0;204.0;25000.0;Materials;Atlanta;GA;no;no;no;yes;435.0;Michael P. Doss;https://www.graphicpkg.com;GPK;6154.4
Brighthouse Financial;468;-115.0;7142.0;-108.0;1500.0;Financials;Charlotte;NC;no;no;no;no;353.0;Eric T. Steigerwalt;https://www.brighthousefinancial.com;BHF;3958.7
PPL;469;-87.0;7127.0;-1480.0;5607.0;Energy;Allentown;PA;no;no;no;no;382.0;Vincent Sorgi;https://www.pplweb.com;PPL;21001.9
Cintas;470;-60.0;7116.3;1111.0;40000.0;Business Services;Cincinnati;OH;no;no;no;yes;410.0;Todd M. Schneider;https://www.cintas.com;CTAS;43566.7
Xerox Holdings;471;-56.0;7038.0;-455.0;23300.0;Technology;Norwalk;CT;no;no;no;no;415.0;Steve Bandrowczak;https://www.xerox.com;XRX;3123.3
Rockwell Automation;472;-32.0;6997.4;1358.1;24500.0;Industrials;Milwaukee;WI;no;no;no;yes;440.0;Blake D. Moret;https://www.rockwellautomation.com;ROK;32538.4
Citizens Financial Group;473;-92.0;6986.0;2319.0;17463.0;Financials;Providence;RI;no;no;no;yes;381.0;Bruce W. Van Saun;https://www.citizensbank.com;CFG;19135.7
KLA;474;-6.0;6918.7;2078.3;11425.0;Technology;Milpitas;CA;no;no;no;yes;468.0;Richard P. Wallace;https://www.kla.com;KLAC;55170.9
Camping World Holdings;475;21.0;6913.8;278.5;12834.0;Retailing;Lincolnshire;IL;no;no;no;yes;496.0;Marcus A. Lemonis;https://www.campingworld.com;CWH;2664.6
Ingredion;476;-13.0;6894.0;117.0;12000.0;Food, Beverages & Tobacco;Westchester;IL;no;no;no;yes;463.0;James P. Zallie;https://www.ingredion.com;INGR;5814.2
Veritiv;477;-38.0;6850.5;144.6;6100.0;Wholesalers;Atlanta;GA;no;no;no;yes;439.0;Salvatore A. Abbate;https://www.veritivcorp.com;VRTV;2008
Beacon Roofing Supply;478;-58.0;6820.4;243.0;6676.0;Wholesalers;Herndon;VA;no;no;no;yes;420.0;Julian G. Francis;https://www.becn.com;BECN;4175.9
Diamondback Energy;479;0.0;6797.0;2182.0;870.0;Energy;Midland;TX;yes;no;no;yes; ;Travis D. Stice;https://www.diamondbackenergy.com;FANG;24320
Victoria's Secret;480;0.0;6784.6;646.4;24000.0;Retailing;Reynoldsburg;OH;yes;no;no;yes; ;Martin P. Waters;https://www.victoriassecretandco.com;VSCO;4330.4
Academy Sports and Outdoors;481;-6.0;6773.1;671.4;16508.0;Retailing;Katy;TX;no;no;no;yes;475.0;Ken C. Hicks;https://www.academy.com;ASO;3433.5
Sanmina;482;-64.0;6756.6;269.0;33500.0;Technology;San Jose;CA;no;yes;no;yes;418.0;Jure Sola;https://www.sanmina.com;SANM;2569
ON Semiconductor;483;0.0;6739.8;1009.6;31650.0;Technology;Phoenix;AZ;yes;no;no;yes; ;Hassane S. El-Khoury;https://www.onsemi.com;ON;27078.7
Commercial Metals;484;8.0;6729.8;412.9;11089.0;Materials;Irving;TX;no;no;yes;yes;492.0;Barbara R. Smith;https://www.cmc.com;CMC;5056.7
EnLink Midstream;485;0.0;6685.9;22.4;1073.0;Energy;Dallas;TX;yes;no;no;yes; ;Jesse Arenivas;https://www.enlink.com;ENLC;4670.6
Southwestern Energy;486;0.0;6667.0;-25.0;938.0;Energy;Spring;TX;yes;no;no;no; ;William J. Way;https://www.swn.com;SWN;7989.7
Equinix;487;-26.0;6635.5;500.2;10944.0;Financials;Redwood City;CA;no;no;no;yes;461.0;Charles J. Meyers;https://www.equinix.com;EQIX;67280.5
"Dillard&#8217;s";488;0.0;6624.3;862.5;25350.0;Retailing;Little Rock;AR;yes;no;no;yes; ;William T. Dillard II;https://www.dillards.com;DDS;4928.2
Regions Financial;489;-55.0;6605.0;2521.0;19626.0;Financials;Birmingham;AL;no;no;no;yes;434.0;John M. Turner Jr.;https://www.regions.com;RF;20860.9
Yum Brands;490;-12.0;6584.0;1575.0;25650.0;Hotels, Restaurants & Leisure;Louisville;KY;no;no;no;yes;478.0;David W. Gibbs;https://www.yum.com;YUM;34252.9
Landstar System;491;0.0;6540.4;381.5;1399.0;Transportation;Jacksonville;FL;yes;no;no;yes; ;James B. Gattoni;https://www.landstar.com;LSTR;5600
CF Industries Holdings;492;0.0;6538.3;917.1;3003.0;Chemicals;Deerfield;IL;yes;no;no;yes; ;W. Anthony Will;https://www.cfindustries.com;CF;21551.3
Northern Trust;493;-50.0;6488.3;1545.3;21100.0;Financials;Chicago;IL;no;no;no;yes;443.0;"Michael G. O&#039;Grady";https://www.northerntrust.com;NTRS;24215.1
Robert Half International;494;0.0;6461.4;598.6;14600.0;Business Services;Menlo Park;CA;yes;no;no;yes; ;M. Keith Waddell;https://www.roberthalf.com;RHI;12638.1
Compass;495;0.0;6421.0;-494.1;4775.0;Technology;New York;NY;yes;yes;no;no; ;Robert L. Reffkin;https://www.compass.com;COMP;3358.8
Hasbro;496;-2.0;6420.4;428.7;6640.0;Household Products;Pawtucket;RI;no;no;no;yes;494.0;Christian Cocks;https://www.hasbro.com;HAS;11383.6
Roper Technologies;497;-9.0;6415.8;1152.6;19300.0;Technology;Sarasota;FL;no;no;no;yes;488.0;L. Neil Hunn;https://www.ropertech.com;ROP;49868.8
ARKO;498;0.0;6412.6;59.2;11236.0;Retailing;Richmond;VA;yes;no;no;yes; ;Arie Kotler;https://www.arkocorp.com;ARKO;1133.9
Frontier Communications;499;-97.0;6411.0;;15640.0;Telecommunications;Norwalk;CT;no;no;no;no;402.0;Nick Jeffery;https://www.frontier.com;FYBR;6763.1
Ameren;500;-31.0;6394.0;990.0;9116.0;Energy;St. Louis;MO;no;no;no;yes; ;Martin J. Lyons Jr.;https://www.ameren.com;AEE;24198.7